Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
0	334149344	0	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
1	-211287890	0	8	1	19	2	0.900000	0.875000	0.888889	0.300000	0.050000	0.871780	16.000000	1.000000	0.727273	0.750000	0.266667	0.950000	0.800000	0.166667	0.875000	
2	-683866920	0	9	1	19	1	0.933333	0.925000	0.900000	0.333333	0.050000	0.924662	18.000000	1.000000	0.818182	0.850000	0.300000	0.950000	0.900000	0.188889	0.925000	
3	-1210785318	0	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
4	-1527914388	0	9	18	2	1	0.366667	0.500000	0.333333	0.900000	0.900000	0.300000	1.000000	0.000000	0.321429	0.000000	0.300000	0.100000	0.900000	0.000000	0.500000	
5	-659802354	0	9	1	19	1	0.933333	0.925000	0.900000	0.333333	0.050000	0.924662	18.000000	1.000000	0.818182	0.850000	0.300000	0.950000	0.900000	0.188889	0.925000	
6	-1354917452	0	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
7	1285793453	0	7	2	18	3	0.833333	0.800000	0.777778	0.300000	0.100000	0.793725	7.000000	1.000000	0.583333	0.600000	0.233333	0.900000	0.700000	0.133333	0.800000	
8	300931927	0	8	4	16	2	0.800000	0.800000	0.666667	0.400000	0.200000	0.800000	4.000000	1.000000	0.571429	0.600000	0.266667	0.800000	0.800000	0.133333	0.800000	
9	2043890752	0	0	14	6	10	0.200000	0.150000	0.000000	0.466667	0.700000	0.000000	0.000000	0.000000	0.000000	-0.700000	0.000000	0.300000	0.000000	-0.155556	0.150000	
10	-1163539408	0	10	19	1	0	0.366667	0.525000	0.344828	0.966667	0.950000	0.223607	1.052632	1.000000	0.344828	0.050000	0.333333	0.050000	1.000000	0.011111	0.525000	
11	1280163013	0	8	19	1	2	0.300000	0.425000	0.296296	0.900000	0.950000	0.200000	0.842105	0.000000	0.275862	-0.150000	0.266667	0.050000	0.800000	-0.033333	0.425000	
12	38047628	0	0	4	16	10	0.533333	0.400000	0.000000	0.133333	0.200000	0.000000	0.000000	0.000000	0.000000	-0.200000	0.000000	0.800000	0.000000	-0.044444	0.400000	
13	368406169	0	9	16	4	1	0.433333	0.550000	0.360000	0.833333	0.800000	0.424264	1.125000	1.000000	0.346154	0.100000	0.300000	0.200000	0.900000	0.022222	0.550000	
14	-862691187	0	10	1	19	0	0.966667	0.975000	0.909091	0.366667	0.050000	0.974679	20.000000	1.000000	0.909091	0.950000	0.333333	0.950000	1.000000	0.211111	0.975000	
15	1288853327	0	0	15	5	10	0.166667	0.125000	0.000000	0.500000	0.750000	0.000000	0.000000	0.000000	0.000000	-0.750000	0.000000	0.250000	0.000000	-0.166667	0.125000	
16	1184595356	0	3	1	19	7	0.733333	0.625000	0.750000	0.133333	0.050000	0.533854	6.000000	1.000000	0.272727	0.250000	0.100000	0.950000	0.300000	0.055556	0.625000	
17	1926849108	1	4	6	14	6	0.600000	0.550000	0.400000	0.333333	0.300000	0.529150	1.333333	1.000000	0.250000	0.100000	0.133333	0.700000	0.400000	0.022222	0.550000	
18	-1097208883	1	5	1	19	5	0.800000	0.725000	0.833333	0.200000	0.050000	0.689202	10.000000	1.000000	0.454545	0.450000	0.166667	0.950000	0.500000	0.100000	0.725000	
19	-1650053368	1	0	7	13	10	0.433333	0.325000	0.000000	0.233333	0.350000	0.000000	0.000000	0.000000	0.000000	-0.350000	0.000000	0.650000	0.000000	-0.077778	0.325000	
20	263798778	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
21	1167739972	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
22	-812937871	1	0	7	13	10	0.433333	0.325000	0.000000	0.233333	0.350000	0.000000	0.000000	0.000000	0.000000	-0.350000	0.000000	0.650000	0.000000	-0.077778	0.325000	
23	1870485369	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
24	9016916	1	10	10	10	0	0.666667	0.750000	0.500000	0.666667	0.500000	0.707107	2.000000	1.000000	0.500000	0.500000	0.333333	0.500000	1.000000	0.111111	0.750000	
25	-887300492	1	10	9	11	0	0.700000	0.775000	0.526316	0.633333	0.450000	0.741620	2.222222	1.000000	0.526316	0.550000	0.333333	0.550000	1.000000	0.122222	0.775000	
26	1378794386	1	0	8	12	10	0.400000	0.300000	0.000000	0.266667	0.400000	0.000000	0.000000	0.000000	0.000000	-0.400000	0.000000	0.600000	0.000000	-0.088889	0.300000	
27	767308974	1	10	7	13	0	0.766667	0.825000	0.588235	0.566667	0.350000	0.806226	2.857143	1.000000	0.588235	0.650000	0.333333	0.650000	1.000000	0.144444	0.825000	
28	195499718	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
29	-450445844	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
30	-624142826	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
31	166632773	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
32	1946061307	1	1	1	19	9	0.666667	0.525000	0.500000	0.066667	0.050000	0.308221	2.000000	1.000000	0.090909	0.050000	0.033333	0.950000	0.100000	0.011111	0.525000	
33	-1793332002	1	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
34	-2039075478	1	10	11	9	0	0.633333	0.725000	0.476190	0.700000	0.550000	0.670820	1.818182	1.000000	0.476190	0.450000	0.333333	0.450000	1.000000	0.100000	0.725000	
35	-1589144886	1	5	2	18	5	0.766667	0.700000	0.714286	0.233333	0.100000	0.670820	5.000000	1.000000	0.416667	0.400000	0.166667	0.900000	0.500000	0.088889	0.700000	
36	1233962966	1	10	15	5	0	0.500000	0.625000	0.400000	0.833333	0.750000	0.500000	1.333333	1.000000	0.400000	0.250000	0.333333	0.250000	1.000000	0.055556	0.625000	
37	1328677817	1	1	3	17	9	0.600000	0.475000	0.250000	0.133333	0.150000	0.291548	0.666667	0.000000	0.076923	-0.050000	0.033333	0.850000	0.100000	-0.011111	0.475000	
38	589796965	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
39	-645296471	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
40	-1242458919	1	0	7	13	10	0.433333	0.325000	0.000000	0.233333	0.350000	0.000000	0.000000	0.000000	0.000000	-0.350000	0.000000	0.650000	0.000000	-0.077778	0.325000	
